[2024-11-24T13:25:36Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:36Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:25:36Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:37Z DEBUG swayr::daemon] Locking-in focus on 38
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:25:40Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:41Z DEBUG swayr::daemon] Locking-in focus on 88
[2024-11-24T13:25:45Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:25:45Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:45Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:46Z DEBUG swayr::daemon] Locking-in focus on 38
[2024-11-24T13:25:50Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:25:50Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:51Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:25:51Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:51Z DEBUG swayr::daemon] Locking-in focus on 38
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:53Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:54Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:25:54Z DEBUG swayr::daemon] Unhandled window event type FullscreenMode
[2024-11-24T13:25:54Z DEBUG swayr::daemon] Locking-in focus on 89
[2024-11-24T13:25:58Z DEBUG swayr::daemon] Unhandled window event type FullscreenMode
[2024-11-24T13:25:59Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:25:59Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:25:59Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:00Z DEBUG swayr::daemon] Locking-in focus on 38
[2024-11-24T13:26:01Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:06Z DEBUG swayr::daemon] Locking-in focus on 90
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Handled window event type Floating
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:07Z DEBUG swayr::daemon] Locking-in focus on 91
[2024-11-24T13:26:56Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:26:56Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:56Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:26:57Z DEBUG swayr::daemon] Locking-in focus on 90
[2024-11-24T13:27:01Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:02Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:27:03Z DEBUG swayr::daemon] Locking-in focus on 92
[2024-11-24T13:27:07Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:08Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:09Z DEBUG swayr::daemon] Locking-in focus on 92
[2024-11-24T13:27:09Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:09Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:10Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:27:11Z DEBUG swayr::daemon] Locking-in focus on 90
[2024-11-24T13:27:13Z DEBUG swayr::daemon] Handled window event type Close
[2024-11-24T13:27:13Z DEBUG swayr::daemon] Handled window event type Focus
